                                 Started job on |	Jul 06 11:54:14
                             Started mapping on |	Jul 06 11:54:16
                                    Finished on |	Jul 06 11:55:12
       Mapping speed, Million of reads per hour |	457.27

                          Number of input reads |	7113103
                      Average input read length |	22
                                    UNIQUE READS:
                   Uniquely mapped reads number |	331017
                        Uniquely mapped reads % |	4.65%
                          Average mapped length |	21.22
                       Number of splices: Total |	0
            Number of splices: Annotated (sjdb) |	0
                       Number of splices: GT/AG |	0
                       Number of splices: GC/AG |	0
                       Number of splices: AT/AC |	0
               Number of splices: Non-canonical |	0
                      Mismatch rate per base, % |	0.09%
                         Deletion rate per base |	0.01%
                        Deletion average length |	1.00
                        Insertion rate per base |	0.02%
                       Insertion average length |	1.01
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	12347
             % of reads mapped to multiple loci |	0.17%
        Number of reads mapped to too many loci |	2
             % of reads mapped to too many loci |	0.00%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.01%
                 % of reads unmapped: too short |	95.15%
                     % of reads unmapped: other |	0.01%
